payment_type,day_of_year,count_of_transactions,transaction_amounts_sum
2,338,198087,2603483.9200000009
2,339,226995,2916059.9500000011
2,340,247852,3028991.5899999994
2,341,218346,2718008.6999999974
2,342,193136,2413663.8000000026
2,343,182957,2284591.5500000031
2,344,185570,2372037.9400000013
2,345,197602,2626138.7799999989
2,346,221491,2938480.2100000004
2,347,241627,3051177.7700000047
2,348,210191,2681350.9900000007
2,349,182735,2316547.0100000007
2,350,187719,2345047.5100000002
2,351,191860,2423541.2100000004
2,352,205216,2652902.0199999986
2,353,231183,2975195.82
2,354,249713,3076195.649999999
2,355,216815,2689773.5100000012
2,356,196329,2489583.42
2,357,201230,2550876.3399999994
2,358,210819,2484579.1900000009
2,359,143949,1822288.5600000005
2,360,178152,2291232.87
2,361,206835,2694374.8499999996
2,362,193462,2492033.0999999992
2,363,195517,2516711.9400000009
2,364,210597,2704924.28
2,365,237207,2796365.54
